iter	Passed	Remaining
0	1	173
1	2	138
2	3	122
3	4	110
4	5	105
5	6	101
6	7	100
7	8	101
8	9	99
9	10	98
10	12	98
11	13	97
12	14	96
13	15	93
14	16	92
15	17	90
16	18	90
17	19	88
18	20	87
19	21	85
20	22	84
21	23	82
22	24	81
23	25	80
24	26	78
25	27	78
26	28	76
27	29	75
28	30	73
29	31	72
30	32	71
31	33	70
32	33	68
33	34	67
34	35	65
35	36	64
36	37	63
37	38	62
38	39	61
39	39	59
40	40	58
41	40	56
42	41	55
43	42	53
44	43	52
45	43	51
46	44	50
47	45	49
48	46	48
49	46	46
50	47	45
51	48	44
52	48	43
53	49	42
54	50	40
55	50	39
56	51	38
57	52	37
58	52	36
59	53	35
60	54	34
61	55	34
62	56	33
63	57	32
64	58	31
65	58	30
66	59	29
67	60	28
68	60	27
69	61	26
70	62	25
71	63	24
72	64	23
73	64	22
74	65	21
75	66	21
76	67	20
77	68	19
78	69	18
79	70	17
80	71	16
81	71	15
82	72	14
83	73	14
84	74	13
85	75	12
86	75	11
87	76	10
88	77	9
89	78	8
90	78	7
91	79	6
92	80	6
93	81	5
94	82	4
95	82	3
96	83	2
97	84	1
98	85	0
99	86	0
